Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
BAJFINANCE,EQ,17-Nov-16,899.8,903.5,903.5,860,877,871.15,874.44
BAJFINANCE,EQ,18-Nov-16,871.15,872,901.45,865,878,878.4,880.88
BAJFINANCE,EQ,21-Nov-16,878.4,891.45,891.45,815.5,834,832.2,835.89
BAJFINANCE,EQ,22-Nov-16,832.2,850.05,863,830.25,861.85,858,848.15
BAJFINANCE,EQ,23-Nov-16,858,871,871.45,844.5,850,850.25,852.56
BAJFINANCE,EQ,24-Nov-16,850.25,847.5,850.85,816.15,821.1,820.7,830.86
BAJFINANCE,EQ,25-Nov-16,820.7,831,884,823.25,873.8,877.9,855.08
BAJFINANCE,EQ,28-Nov-16,877.9,876.2,899,857.8,884,879.25,883.09
BAJFINANCE,EQ,29-Nov-16,879.25,884.5,926.3,883.9,909.5,907.25,913.35
BAJFINANCE,EQ,30-Nov-16,907.25,910,927.85,909.05,918.7,919.8,919.6
BAJFINANCE,EQ,1-Dec-16,919.8,926,929.9,910,913.1,914.2,917.36
BAJFINANCE,EQ,2-Dec-16,914.2,904,910,880,887,886.5,889.19
BAJFINANCE,EQ,5-Dec-16,886.5,887,907.8,885,904,902.25,897.76
BAJFINANCE,EQ,6-Dec-16,902.25,903.3,923.9,893.3,899.75,898.05,910.27
BAJFINANCE,EQ,7-Dec-16,898.05,906.7,910.75,875.65,900.6,891.05,898.29
BAJFINANCE,EQ,8-Dec-16,891.05,908,915.9,904.1,910.3,911.55,910.19
BAJFINANCE,EQ,9-Dec-16,911.55,913.8,917.7,891.55,897.5,896.35,901.19
BAJFINANCE,EQ,12-Dec-16,896.35,896.75,896.75,834,843.45,843.6,855.51
BAJFINANCE,EQ,13-Dec-16,843.6,820,843.4,805,839.95,836.75,829.98
BAJFINANCE,EQ,14-Dec-16,836.75,839.7,857.85,832.8,847,848.75,849.16
BAJFINANCE,EQ,15-Dec-16,848.75,835.1,866.9,831.05,856.2,853.8,855.07
BAJFINANCE,EQ,16-Dec-16,853.8,860.9,863,848,848.95,850.8,855.29
BAJFINANCE,EQ,19-Dec-16,850.8,853.2,853.2,818.9,825,822.9,832.4
BAJFINANCE,EQ,20-Dec-16,822.9,825,829.5,786.3,804.2,805.8,807.81
BAJFINANCE,EQ,21-Dec-16,805.8,811,814.8,783.05,784.8,788.6,796.32
BAJFINANCE,EQ,22-Dec-16,788.6,784.8,784.8,760.5,766.55,765.4,768.25
BAJFINANCE,EQ,23-Dec-16,765.4,776.7,827.9,761.3,815,808.95,793.69
BAJFINANCE,EQ,26-Dec-16,808.95,810,821.3,782.05,806.7,810,808.17
BAJFINANCE,EQ,27-Dec-16,810,811,827.9,799.35,807.25,809.75,815.55
BAJFINANCE,EQ,28-Dec-16,809.75,816.35,840.9,811,820.35,820.2,824.67
BAJFINANCE,EQ,29-Dec-16,820.2,820,839.75,816.25,835,833.35,832.14
BAJFINANCE,EQ,30-Dec-16,833.35,840,854.7,833,843.6,842.2,846.51
BAJFINANCE,EQ,2-Jan-17,842.2,852,873.9,842,870.5,870.05,860.91
BAJFINANCE,EQ,3-Jan-17,870.05,870,889,859.25,880.55,884,873.63
BAJFINANCE,EQ,4-Jan-17,884,887.1,891,868,871,871.9,875.73
BAJFINANCE,EQ,5-Jan-17,871.9,883.35,903,875.05,900.3,899.75,887.42
