Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
ITC,EQ,17-Nov-16,230.9,228.45,234,228.4,230.6,231.5,231.33
ITC,EQ,18-Nov-16,231.5,230,231.4,227.1,227.95,227.85,229.07
ITC,EQ,21-Nov-16,227.85,228.2,228.6,223.6,225,224.2,225.08
ITC,EQ,22-Nov-16,224.2,225,228.1,223.5,227,226.1,225.78
ITC,EQ,23-Nov-16,226.1,227.25,227.8,223.5,225.1,224.65,224.99
ITC,EQ,24-Nov-16,224.65,225,225.25,222.1,224,223.5,223.39
ITC,EQ,25-Nov-16,223.5,224.5,230.45,223.05,228,228.8,227.53
ITC,EQ,28-Nov-16,228.8,228.4,234.2,227.3,233.6,233.7,231.91
ITC,EQ,29-Nov-16,233.7,233.05,235.65,230.25,231.3,231.05,232.85
ITC,EQ,30-Nov-16,231.05,232,234.4,229.15,231.15,232.5,231.82
ITC,EQ,1-Dec-16,232.5,232.8,235,231.05,233.45,233.5,233.43
ITC,EQ,2-Dec-16,233.5,233,233,228,228.35,228.5,229.28
ITC,EQ,5-Dec-16,228.5,228.9,233.2,227.45,232.7,232.55,230.53
ITC,EQ,6-Dec-16,232.55,233,233,229.15,230.1,230.2,230.12
ITC,EQ,7-Dec-16,230.2,231.5,231.5,226.5,227.9,227.2,229.1
ITC,EQ,8-Dec-16,227.2,229.05,235.3,228.3,233.9,233.3,232.74
ITC,EQ,9-Dec-16,233.3,234.05,239.6,232.55,235.9,236.15,237.36
ITC,EQ,12-Dec-16,236.15,234.2,234.7,231.95,232.55,232.3,233.25
ITC,EQ,13-Dec-16,232.3,234.8,236.9,232.2,234.6,235.65,234.9
ITC,EQ,14-Dec-16,235.65,236,236.5,232,232.35,233.15,233.75
ITC,EQ,15-Dec-16,233.15,232,234.4,228.5,229.35,229.7,230.8
ITC,EQ,16-Dec-16,229.7,230.8,230.8,226,226.5,226.35,226.83
ITC,EQ,19-Dec-16,226.35,225.35,229,225.35,227.1,227,227.35
ITC,EQ,20-Dec-16,227,228.5,230.8,227.5,229.95,229.95,229.84
ITC,EQ,21-Dec-16,229.95,229,229.8,225.5,226.2,226.3,226.57
ITC,EQ,22-Dec-16,226.3,225.25,228.4,224.25,227.7,227.55,226.88
ITC,EQ,23-Dec-16,227.55,227.5,227.5,223.8,224.9,224.7,225.08
ITC,EQ,26-Dec-16,224.7,224.9,225.85,222,225.4,225,224.41
ITC,EQ,27-Dec-16,225,226,234.9,224.35,234.5,234.05,230.24
ITC,EQ,28-Dec-16,234.05,232.7,236.4,232.7,236,235.45,235.04
ITC,EQ,29-Dec-16,235.45,235.3,237,232.3,236.5,236,234.37
ITC,EQ,30-Dec-16,236,237.45,242.4,236.3,240.8,241.65,241.16
ITC,EQ,2-Jan-17,241.65,242,242.25,238.6,239.95,240.95,240.49
