"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MARUTI","EQ","17-Nov-2016","       4990.80","       5030.00","       5048.00","       4916.30","       4920.00","       4925.55","       4959.72","     668715","          3316637910.20","      73239"
"MARUTI","EQ","18-Nov-2016","       4925.55","       4935.00","       4989.90","       4887.90","       4940.00","       4950.90","       4949.50","     699355","          3461456978.95","      59976"
"MARUTI","EQ","21-Nov-2016","       4950.90","       4990.00","       4990.00","       4765.30","       4800.00","       4787.45","       4849.13","     864696","          4193021584.00","      73503"
"MARUTI","EQ","22-Nov-2016","       4787.45","       4830.00","       4956.00","       4825.55","       4948.00","       4934.55","       4896.44","     845997","          4142375931.30","      63310"
"MARUTI","EQ","23-Nov-2016","       4934.55","       4945.00","       4945.00","       4860.00","       4892.00","       4880.85","       4891.85","     757744","          3706768591.65","      46094"
"MARUTI","EQ","24-Nov-2016","       4880.85","       4862.00","       4883.90","       4804.00","       4816.90","       4830.15","       4843.27","     550368","          2665579853.10","      40727"
"MARUTI","EQ","25-Nov-2016","       4830.15","       4849.00","       4905.00","       4792.45","       4870.00","       4873.60","       4864.30","     669501","          3256653755.10","      50809"
"MARUTI","EQ","28-Nov-2016","       4873.60","       4866.00","       4913.00","       4833.00","       4895.00","       4893.75","       4889.40","    1387068","          6781930626.85","      55811"
"MARUTI","EQ","29-Nov-2016","       4893.75","       4898.00","       5119.00","       4896.00","       5104.00","       5088.15","       5052.75","     874897","          4420632257.45","      65629"
"MARUTI","EQ","30-Nov-2016","       5088.15","       5110.55","       5282.00","       5100.10","       5265.00","       5266.00","       5204.70","    1270618","          6613189286.35","      89569"
"MARUTI","EQ","01-Dec-2016","       5266.00","       5266.00","       5307.50","       5204.25","       5228.00","       5252.10","       5257.64","    1221883","          6424225847.95","      73084"
"MARUTI","EQ","02-Dec-2016","       5252.10","       5220.00","       5236.20","       5046.00","       5051.00","       5068.10","       5153.82","     772281","          3980199883.45","      61022"
"MARUTI","EQ","05-Dec-2016","       5068.10","       5063.90","       5219.90","       5055.00","       5216.10","       5202.95","       5145.06","     578935","          2978655541.40","      50672"
"MARUTI","EQ","06-Dec-2016","       5202.95","       5220.00","       5261.00","       5118.05","       5132.00","       5135.20","       5194.35","     646660","          3358978445.30","      65117"
"MARUTI","EQ","07-Dec-2016","       5135.20","       5150.95","       5209.75","       5035.05","       5130.00","       5116.65","       5143.42","     590462","          3036995577.45","      58670"
"MARUTI","EQ","08-Dec-2016","       5116.65","       5172.00","       5269.90","       5170.00","       5242.50","       5234.60","       5235.29","     845955","          4428823745.30","      81413"
"MARUTI","EQ","09-Dec-2016","       5234.60","       5290.00","       5312.50","       5201.20","       5234.00","       5235.00","       5249.35","     562518","          2952855303.35","      57752"
"MARUTI","EQ","12-Dec-2016","       5235.00","       5228.00","       5228.00","       5120.05","       5150.00","       5144.40","       5159.27","     357439","          1844122787.60","      37838"
"MARUTI","EQ","13-Dec-2016","       5144.40","       5178.75","       5207.00","       5134.05","       5160.00","       5163.15","       5173.88","     484291","          2505662118.90","      45941"
"MARUTI","EQ","14-Dec-2016","       5163.15","       5179.95","       5214.75","       5130.20","       5139.75","       5141.05","       5168.64","     371699","          1921177672.90","      39584"
"MARUTI","EQ","15-Dec-2016","       5141.05","       5099.95","       5197.00","       5080.00","       5153.00","       5152.05","       5155.24","     457317","          2357577713.15","      49226"
"MARUTI","EQ","16-Dec-2016","       5152.05","       5174.50","       5207.00","       5151.20","       5189.00","       5188.65","       5186.72","    1170505","          6071076452.45","      71724"
"MARUTI","EQ","19-Dec-2016","       5188.65","       5175.00","       5195.45","       5104.05","       5117.20","       5115.05","       5134.12","     369118","          1895096606.20","      44736"
"MARUTI","EQ","20-Dec-2016","       5115.05","       5135.90","       5147.50","       5072.00","       5110.00","       5108.00","       5110.64","     377676","          1930167659.55","      41459"
"MARUTI","EQ","21-Dec-2016","       5108.00","       5119.40","       5160.00","       5073.55","       5159.65","       5137.85","       5131.03","     413072","          2119486223.90","      48389"
"MARUTI","EQ","22-Dec-2016","       5137.85","       5144.00","       5144.00","       5053.00","       5095.00","       5084.40","       5092.15","     399573","          2034684947.05","      40981"
"MARUTI","EQ","23-Dec-2016","       5084.40","       5050.00","       5214.00","       5041.00","       5210.00","       5197.15","       5137.96","     589006","          3026291840.90","      51112"
"MARUTI","EQ","26-Dec-2016","       5197.15","       5179.00","       5257.80","       5151.10","       5174.00","       5167.35","       5192.70","     510998","          2653458429.85","      50261"
"MARUTI","EQ","27-Dec-2016","       5167.35","       5185.00","       5237.40","       5117.20","       5217.00","       5224.00","       5184.75","     486703","          2523432348.75","      41274"
"MARUTI","EQ","28-Dec-2016","       5224.00","       5250.00","       5278.00","       5219.45","       5239.95","       5231.25","       5246.94","     595514","          3124627431.25","      46855"
"MARUTI","EQ","29-Dec-2016","       5231.25","       5217.20","       5349.00","       5217.20","       5345.50","       5314.80","       5284.21","     655325","          3462874921.80","      56686"
"MARUTI","EQ","30-Dec-2016","       5314.80","       5347.00","       5377.90","       5303.00","       5315.30","       5319.55","       5341.23","     559886","          2990480369.60","      52154"
"MARUTI","EQ","02-Jan-2017","       5319.55","       5320.05","       5474.20","       5267.80","       5470.00","       5466.00","       5386.21","     651321","          3508148908.55","      47570"
"MARUTI","EQ","03-Jan-2017","       5466.00","       5466.00","       5524.20","       5432.60","       5511.25","       5508.40","       5485.36","     631753","          3465393242.30","      40885"
"MARUTI","EQ","04-Jan-2017","       5508.40","       5530.00","       5554.70","       5494.00","       5511.00","       5502.15","       5521.15","     679443","          3751304398.70","      40184"
"MARUTI","EQ","05-Jan-2017","       5502.15","       5525.10","       5649.90","       5525.10","       5649.90","       5634.95","       5600.23","     744210","          4167747463.75","      71260"
"MARUTI","EQ","06-Jan-2017","       5634.95","       5650.00","       5657.30","       5597.00","       5637.00","       5615.55","       5616.11","     544695","          3059065958.45","      51306"
"MARUTI","EQ","09-Jan-2017","       5615.55","       5644.80","       5680.00","       5610.60","       5675.35","       5658.50","       5655.48","     345094","          1951671534.90","      35490"
"MARUTI","EQ","10-Jan-2017","       5658.50","       5680.00","       5693.70","       5641.00","       5681.00","       5674.85","       5667.34","     410444","          2326126082.30","      44830"
"MARUTI","EQ","11-Jan-2017","       5674.85","       5691.00","       5772.90","       5691.00","       5760.50","       5762.35","       5738.02","     539326","          3094661109.00","      57368"
"MARUTI","EQ","12-Jan-2017","       5762.35","       5770.00","       5795.00","       5742.00","       5794.90","       5777.35","       5766.08","     421634","          2431175297.45","      34236"
"MARUTI","EQ","13-Jan-2017","       5777.35","       5792.00","       5794.00","       5683.65","       5698.45","       5699.50","       5710.48","    1086873","          6206571206.55","      57943"
"MARUTI","EQ","16-Jan-2017","       5699.50","       5697.95","       5725.20","       5661.00","       5674.00","       5676.90","       5683.20","     290142","          1648934388.05","      23251"
"MARUTI","EQ","17-Jan-2017","       5676.90","       5690.00","       5718.90","       5657.05","       5662.15","       5669.40","       5680.30","     343048","          1948615290.90","      39349"
"MARUTI","EQ","18-Jan-2017","       5669.40","       5685.00","       5719.00","       5665.00","       5680.00","       5684.45","       5692.66","     308483","          1756088073.00","      35631"
"MARUTI","EQ","19-Jan-2017","       5684.45","       5675.00","       5728.00","       5675.00","       5717.00","       5718.35","       5704.07","     239027","          1363426406.25","      21187"
"MARUTI","EQ","20-Jan-2017","       5718.35","       5717.00","       5749.00","       5642.00","       5678.00","       5668.95","       5701.89","     444280","          2533234364.95","      26561"
"MARUTI","EQ","23-Jan-2017","       5668.95","       5668.95","       5712.75","       5643.80","       5696.00","       5700.00","       5685.68","     297515","          1691574395.85","      23061"
"MARUTI","EQ","24-Jan-2017","       5700.00","       5704.00","       5745.75","       5688.95","       5740.00","       5737.20","       5729.49","     301613","          1728089864.35","      30061"
"MARUTI","EQ","25-Jan-2017","       5737.20","       5763.90","       5834.00","       5708.05","       5825.00","       5802.55","       5774.80","    1148793","          6634052767.20","      75448"
"MARUTI","EQ","27-Jan-2017","       5802.55","       5842.00","       5927.70","       5825.05","       5916.00","       5915.90","       5891.72","     576906","          3398968196.25","      65532"
"MARUTI","EQ","30-Jan-2017","       5915.90","       5916.00","       5939.00","       5885.00","       5894.15","       5894.95","       5906.74","     323448","          1910522746.30","      39036"
"MARUTI","EQ","31-Jan-2017","       5894.95","       5889.00","       5934.90","       5875.50","       5899.95","       5894.25","       5902.40","     374637","          2211257402.30","      43066"
"MARUTI","EQ","01-Feb-2017","       5894.25","       5900.00","       6203.50","       5886.00","       6195.10","       6179.20","       6038.30","    1212008","          7318473660.40","      92497"
"MARUTI","EQ","02-Feb-2017","       6179.20","       6170.00","       6218.35","       6130.00","       6134.90","       6144.35","       6168.26","     745214","          4596674205.75","      70588"
"MARUTI","EQ","03-Feb-2017","       6144.35","       6147.90","       6156.65","       6096.55","       6132.00","       6115.45","       6121.58","     304078","          1861437210.75","      34361"
"MARUTI","EQ","06-Feb-2017","       6115.45","       6157.00","       6187.00","       6125.00","       6145.00","       6149.70","       6152.61","     322223","          1982511228.05","      38621"
"MARUTI","EQ","07-Feb-2017","       6149.70","       6166.00","       6231.50","       6144.00","       6201.10","       6213.20","       6189.66","     456427","          2825128782.40","      46594"
"MARUTI","EQ","08-Feb-2017","       6213.20","       6219.70","       6233.90","       6165.15","       6192.20","       6194.65","       6197.84","     410369","          2543400369.95","      39235"
"MARUTI","EQ","09-Feb-2017","       6194.65","       6195.50","       6204.00","       6111.60","       6153.10","       6157.10","       6156.16","     511610","          3149554064.25","      46518"
"MARUTI","EQ","10-Feb-2017","       6157.10","       6170.00","       6173.75","       6096.40","       6110.00","       6112.25","       6127.09","     284471","          1742979647.25","      26845"
"MARUTI","EQ","13-Feb-2017","       6112.25","       6092.00","       6139.90","       6002.00","       6012.00","       6022.00","       6048.77","     404675","          2447785114.95","      41543"
"MARUTI","EQ","14-Feb-2017","       6022.00","       6045.00","       6045.00","       5928.10","       5934.25","       5939.85","       5965.90","     439745","          2623475139.45","      41629"
"MARUTI","EQ","15-Feb-2017","       5939.85","       5950.00","       5961.80","       5842.20","       5859.55","       5862.70","       5892.58","     609791","          3593241456.60","      53148"
