Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
SBIN,EQ,17-Nov-16,277.2,278,282.2,275.6,278.7,277.45,279.38
SBIN,N2,17-Nov-16,11115.01,11399.99,11400,11220,11220,11220,11348.52
SBIN,N5,17-Nov-16,11861.7,11850,11889,11850,11889,11889,11879.02
SBIN,N6,17-Nov-16,11200,11299,11299,11299,11299,11299,11299
SBIN,EQ,18-Nov-16,277.45,278.15,280,274.85,275.7,275.8,277
SBIN,N2,18-Nov-16,11220,11225,11300,11225,11300,11300,11296.44
SBIN,N5,18-Nov-16,11889,11885,11972,11885,11948,11941.19,11928.02
SBIN,N6,18-Nov-16,11299,11400,11400,11377,11377,11377,11394.25
SBIN,EQ,21-Nov-16,275.8,277.15,277.6,255.85,258.5,257.35,264.47
SBIN,N2,21-Nov-16,11300,11300,11300,11260.01,11260.01,11260.01,11296.89
SBIN,N5,21-Nov-16,11941.19,11930,12100,11930,12060,12085.46,12034.57
SBIN,EQ,22-Nov-16,257.35,260.8,262.65,251.15,258,257.35,256.19
SBIN,N2,22-Nov-16,11260.01,11260,11300,11260,11300,11300,11271.43
SBIN,N5,22-Nov-16,12085.46,12042.1,12042.1,11960,11960,11971.89,11996.54
SBIN,EQ,23-Nov-16,257.35,259.8,260.35,254.75,258.05,258.65,257.72
SBIN,N2,23-Nov-16,11300,11145.1,11300,11145.1,11300,11290.2,11183.83
SBIN,N5,23-Nov-16,11971.89,11972,11998,11970,11998,11997.99,11988.08
SBIN,N6,23-Nov-16,11377,11550,13640,11152,11160,11200.8,11904.4
SBIN,EQ,24-Nov-16,258.65,257.8,263,254.55,261.8,261.75,260.61
SBIN,N2,24-Nov-16,11290.2,11490,11490,11290,11300,11299.99,11314.53
SBIN,N5,24-Nov-16,11997.99,12040,12165,12040,12150,12146.11,12130.79
SBIN,EQ,25-Nov-16,261.75,263.5,264.5,258.35,260.85,260.95,261.08
SBIN,N2,25-Nov-16,11299.99,11300,11300.03,11260,11260,11299.87,11299.97
SBIN,N5,25-Nov-16,12146.11,12150,12329,12000,12250,12245.02,12228.36
SBIN,EQ,28-Nov-16,260.95,253.45,257.75,248,254.05,253.55,254.63
SBIN,N2,28-Nov-16,11299.87,11350,11350,11265,11325,11325,11324.56
SBIN,N5,28-Nov-16,12245.02,12297.99,12297.99,12115,12245,12241.69,12220.11
SBIN,EQ,29-Nov-16,253.55,254.25,256.5,252,253.15,252.7,254.52
SBIN,N2,29-Nov-16,11325,11399.99,11400,11399.99,11400,11400,11400
SBIN,N5,29-Nov-16,12241.69,12200,12200,12145,12150,12147.4,12167.84
SBIN,N6,29-Nov-16,11200.8,11201.01,11201.01,11201,11201,11201,11201
SBIN,EQ,30-Nov-16,252.7,254,260.15,252.7,257.85,258.35,256.7
SBIN,N2,30-Nov-16,11400,11400,11402,11390,11400,11401.09,11399.98
SBIN,N5,30-Nov-16,12147.4,12140,12159,11998.05,11998.05,12006.79,12050.63
SBIN,EQ,1-Dec-16,258.35,259.65,261,254.65,256.4,255.65,257.1
SBIN,N2,1-Dec-16,11401.09,11495,11495,11352.01,11449.9,11446.26,11435.93
SBIN,N5,1-Dec-16,12006.79,12001.01,12179,11861,11870.01,11874.73,11896.6
SBIN,EQ,2-Dec-16,255.65,253.95,261.4,253,254.1,254.1,255.89
SBIN,N2,2-Dec-16,11446.26,11399.99,11400,11370,11390.1,11390.1,11397.21
SBIN,N5,2-Dec-16,11874.73,11989.9,11989.9,11860.06,11879.99,11876.62,11881.3
SBIN,EQ,5-Dec-16,254.1,254.4,257.8,253.2,257.7,256.9,255.82
SBIN,N2,5-Dec-16,11390.1,11459.99,11504.99,11459.99,11504.99,11501.33,11484.31
SBIN,N5,5-Dec-16,11876.62,11989.46,11989.46,11890,11890,11891.38,11912.67
SBIN,EQ,6-Dec-16,256.9,258.5,260.15,256.35,259.7,259.1,258.64
SBIN,N2,6-Dec-16,11501.33,11501,11550,11500,11540,11524.5,11523.76
SBIN,N5,6-Dec-16,11891.38,11910,11910,11885,11890,11890.97,11896.68
SBIN,EQ,7-Dec-16,259.1,260.35,262.75,251.65,256.35,255.6,258.19
SBIN,N2,7-Dec-16,11524.5,11540,11540,11382,11400,11397,11468
SBIN,N5,7-Dec-16,11890.97,11900,11921,11870,11870,11875.28,11895.86
SBIN,EQ,8-Dec-16,255.6,258.45,260.5,258.05,259.9,259.9,259.38
SBIN,N5,8-Dec-16,11875.28,11880,11880,11811,11812,11812,11829.24
SBIN,EQ,9-Dec-16,259.9,260.8,267.2,258.8,266.6,266.65,264.21
SBIN,N2,9-Dec-16,11397,11598,11598,11598,11598,11598,11598
SBIN,N5,9-Dec-16,11812,12196.99,12196.99,11790,11790,11795.06,11808.86
SBIN,EQ,12-Dec-16,266.65,268.9,269.35,262.3,264,263.65,266.17
SBIN,N5,12-Dec-16,11795.06,11795.06,11843,11761.25,11775,11775.47,11790.66
SBIN,EQ,13-Dec-16,263.65,264.9,266.75,261.55,266.05,266.15,264.38
SBIN,N2,13-Dec-16,11598,11450,11450,11400.13,11400.13,11404.12,11406.31
SBIN,N5,13-Dec-16,11775.47,11801.01,11801.99,11781.02,11801.99,11801.99,11794.31
SBIN,EQ,14-Dec-16,266.15,266,266.25,262.3,263,262.9,263.86
SBIN,N2,14-Dec-16,11404.12,11400,11400,11400,11400,11400,11400
SBIN,N5,14-Dec-16,11801.99,11790,11820,11782,11800,11800,11795.47
SBIN,EQ,15-Dec-16,262.9,259.9,267.5,259,265.35,265.4,264.98
SBIN,N2,15-Dec-16,11400,11400.1,11400.1,11360.01,11400,11400,11392.62
SBIN,N5,15-Dec-16,11800,11790,11800,11770,11770,11772.87,11787.2
SBIN,EQ,16-Dec-16,265.4,266.35,266.35,263.05,265.2,264.75,264.65
SBIN,N2,16-Dec-16,11400,11450,11450,11450,11450,11450,11450
SBIN,N5,16-Dec-16,11772.87,11795.99,11795.99,11750,11750,11754.41,11768.46
SBIN,EQ,19-Dec-16,264.75,263.35,264.5,260.85,261.3,261.35,262.48
SBIN,N5,19-Dec-16,11754.41,11770,11794.9,11756.1,11765,11763.78,11767.96
SBIN,EQ,20-Dec-16,261.35,261.85,262.9,253.25,255.05,254.55,256.17
SBIN,N2,20-Dec-16,11450,11383.61,11383.61,11383.6,11383.6,11383.6,11383.6
SBIN,N5,20-Dec-16,11763.78,11750,11780,11750,11779,11773.82,11764.1
SBIN,EQ,21-Dec-16,254.55,256.1,258,254.1,254.6,255.35,256.1
SBIN,N2,21-Dec-16,11383.6,11384,11402,11375.5,11376.5,11376.5,11378.33
SBIN,N5,21-Dec-16,11773.82,11790,11815,11780,11811.95,11810.15,11797.71
SBIN,N6,21-Dec-16,11201,11281.05,11281.05,11281.05,11281.05,11281.05,11281.05
SBIN,EQ,22-Dec-16,255.35,254.25,254.25,248.35,249.8,249.8,250.45
SBIN,N2,22-Dec-16,11376.5,11375.05,11375.05,11375.05,11375.05,11375.05,11375.05
SBIN,N5,22-Dec-16,11810.15,11800,11819.99,11775,11800,11808.29,11804.43
SBIN,N6,22-Dec-16,11281.05,11300,11300,11251.1,11251.1,11251.1,11285.33
SBIN,EQ,23-Dec-16,249.8,249.75,251.8,247.8,249,249.15,249.85
SBIN,N2,23-Dec-16,11375.05,11375.05,11400,11375.05,11400,11400,11392.54
SBIN,N5,23-Dec-16,11808.29,11790,11824,11786,11824,11817.64,11808.34
SBIN,N6,23-Dec-16,11251.1,11301,11301,11301,11301,11301,11301
SBIN,EQ,26-Dec-16,249.15,248,248.3,243.6,243.95,244.2,245.38
SBIN,N5,26-Dec-16,11817.64,11800,11810,11783,11800,11800,11800.56
