Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price
TCS,EQ,17-Nov-16,2189.6,2185,2208.6,2130.15,2134.05,2137.2,2163.54
TCS,EQ,18-Nov-16,2137.2,2142,2150,2104.2,2126.2,2125.1,2123.04
TCS,EQ,21-Nov-16,2125.1,2126.2,2140,2105,2130,2132.9,2128.57
TCS,EQ,22-Nov-16,2132.9,2132,2177.45,2122.05,2142,2135,2147.59
TCS,EQ,23-Nov-16,2135,2149,2162.95,2127.2,2158.5,2156.35,2150.81
TCS,EQ,24-Nov-16,2156.35,2154.9,2207.6,2137,2205,2188.45,2185.41
TCS,EQ,25-Nov-16,2188.45,2212,2307.25,2192.2,2299.8,2300.35,2272.25
TCS,EQ,28-Nov-16,2300.35,2294,2319.45,2251.9,2275.05,2282.6,2283.57
TCS,EQ,29-Nov-16,2282.6,2275,2292,2252.55,2263,2259.85,2271.38
TCS,EQ,30-Nov-16,2259.85,2265,2294.75,2242.3,2275,2276.05,2272.16
TCS,EQ,1-Dec-16,2276.05,2277,2290,2254.05,2267,2263.45,2270.78
TCS,EQ,2-Dec-16,2263.45,2258,2270.8,2205.2,2229,2221.85,2233.56
TCS,EQ,5-Dec-16,2221.85,2229,2237.85,2170,2188.5,2186,2189.99
TCS,EQ,6-Dec-16,2186,2190,2203.95,2169.9,2170.85,2182.35,2189.54
TCS,EQ,7-Dec-16,2182.35,2182.2,2184.45,2145.65,2157.9,2154.55,2164.31
TCS,EQ,8-Dec-16,2154.55,2160.5,2199,2160,2195,2195.75,2185.77
TCS,EQ,9-Dec-16,2195.75,2205,2219.9,2173.3,2193.6,2195.25,2199.22
TCS,EQ,12-Dec-16,2195.25,2194.8,2217.6,2163,2210,2208.2,2198.33
TCS,EQ,13-Dec-16,2208.2,2218,2218,2183,2210.75,2200.3,2199.64
TCS,EQ,14-Dec-16,2200.3,2214,2224.7,2189,2208.8,2207.6,2207.22
TCS,EQ,15-Dec-16,2207.6,2202,2272.1,2202,2256.5,2259.3,2257.49
TCS,EQ,16-Dec-16,2259.3,2277,2290,2252,2284.8,2282.65,2275.76
TCS,EQ,19-Dec-16,2282.65,2280,2297.7,2261.3,2285,2288.9,2274.6
TCS,EQ,20-Dec-16,2288.9,2292,2345,2287.05,2340,2339.3,2322.69
TCS,EQ,21-Dec-16,2339.3,2343.8,2343.8,2305.6,2312,2313.6,2318.5
TCS,EQ,22-Dec-16,2313.6,2306,2325,2286.2,2315.6,2307.7,2306.01
TCS,EQ,23-Dec-16,2307.7,2300,2317.75,2278.8,2285,2288.1,2295.23
TCS,EQ,26-Dec-16,2288.1,2266,2301.6,2266,2296.85,2293.1,2290.6
TCS,EQ,27-Dec-16,2293.1,2281.5,2330,2281.5,2322.8,2323.4,2317.79
TCS,EQ,28-Dec-16,2323.4,2326.7,2349.9,2303.15,2305.25,2313.4,2335.86
TCS,EQ,29-Dec-16,2313.4,2303,2359.9,2303,2355,2351.7,2346.25
TCS,EQ,30-Dec-16,2351.7,2354.9,2378.6,2345.65,2366.55,2365.55,2366.64
TCS,EQ,2-Jan-17,2365.55,2366.6,2375.1,2352.4,2360,2361.35,2365.66
TCS,EQ,3-Jan-17,2361.35,2361.25,2371.7,2343.3,2361,2368.25,2358.03
TCS,EQ,4-Jan-17,2368.25,2369.7,2388.85,2358.3,2377.95,2379.5,2374.22
TCS,EQ,5-Jan-17,2379.5,2384,2389.95,2320.4,2334,2334.4,2351.44
TCS,EQ,6-Jan-17,2334.4,2321,2329.35,2257.1,2284,2281.4,2287.51
TCS,EQ,9-Jan-17,2281.4,2275,2311.3,2257,2308,2303.7,2284.41
TCS,EQ,10-Jan-17,2303.7,2304,2329.8,2291.5,2314,2315.35,2313.17
TCS,EQ,11-Jan-17,2315.35,2315,2329.6,2280.2,2325,2324.4,2308.53
TCS,EQ,12-Jan-17,2324.4,2324.4,2360,2304,2347,2344.35,2334.68
TCS,EQ,13-Jan-17,2344.35,2348,2357.95,2237.85,2250,2249.3,2276.72
TCS,EQ,16-Jan-17,2249.3,2250,2273.9,2228,2261.8,2258.55,2255.96
TCS,EQ,17-Jan-17,2258.55,2254.9,2287.8,2252.8,2280,2278.75,2277.11
TCS,EQ,18-Jan-17,2278.75,2278,2298,2265.45,2295,2295.1,2282.3
TCS,EQ,19-Jan-17,2295.1,2295,2295.15,2282.95,2290,2291,2289.32
TCS,EQ,20-Jan-17,2291,2287,2300,2265,2288,2285.35,2283.07
TCS,EQ,23-Jan-17,2285.35,2265,2313.5,2259.8,2307.1,2306.7,2298.05
TCS,EQ,24-Jan-17,2306.7,2304,2323,2290,2320,2318.35,2310.2
TCS,EQ,25-Jan-17,2318.35,2322.6,2360,2318.05,2357,2353,2342.18
TCS,EQ,27-Jan-17,2353,2345.05,2378.75,2345.05,2359,2357.8,2364.53
TCS,EQ,30-Jan-17,2357.8,2341,2351.95,2318.15,2338.85,2332.9,2332.5
TCS,EQ,31-Jan-17,2332.9,2320,2332.05,2200.05,2232,2229.8,2241.5
TCS,EQ,1-Feb-17,2229.8,2220,2239.95,2155.55,2164.9,2167.9,2175.8
TCS,EQ,2-Feb-17,2167.9,2170.05,2219,2153,2204.45,2207.65,2181.08
TCS,EQ,3-Feb-17,2207.65,2209.7,2243,2191,2238.8,2232.55,2221.59
TCS,EQ,6-Feb-17,2232.55,2258,2258.5,2214.95,2242,2240.75,2234.09
TCS,EQ,7-Feb-17,2240.75,2244,2252.6,2226,2245.9,2244.6,2243.18
TCS,EQ,8-Feb-17,2244.6,2244.9,2282.6,2244.05,2281,2270.95,2270.63
TCS,EQ,9-Feb-17,2270.95,2275,2328,2270.2,2317,2317.3,2307.82
TCS,EQ,10-Feb-17,2317.3,2311,2424.45,2311,2382.9,2397.95,2363.49
TCS,EQ,13-Feb-17,2397.95,2396,2429,2382.35,2409.1,2414.25,2410.42
TCS,EQ,14-Feb-17,2414.25,2419.65,2419.65,2398,2398.15,2406.25,2409.94
TCS,EQ,15-Feb-17,2406.25,2397,2428,2375.1,2423.45,2413.7,2405.57
TCS,EQ,16-Feb-17,2413.7,2460,2478,2435.6,2450,2447.75,2452.74
TCS,EQ,17-Feb-17,2447.75,2472,2475.6,2402,2415,2407.9,2421.27
TCS,EQ,20-Feb-17,2407.9,2425,2555,2408.1,2505,2502.2,2478.91
TCS,EQ,21-Feb-17,2502.2,2514,2525.9,2455.15,2461.5,2465.35,2490.33
TCS,EQ,22-Feb-17,2465.35,2465.9,2470,2400.15,2409.95,2411.5,2424.5
TCS,EQ,23-Feb-17,2411.5,2415,2493.25,2415,2479,2481.8,2467.63
TCS,EQ,27-Feb-17,2481.8,2479.1,2502,2470.05,2492,2489.85,2489.22
TCS,EQ,28-Feb-17,2489.85,2489.5,2490,2450,2460,2466.25,2465.7
TCS,EQ,1-Mar-17,2466.25,2479.9,2501.9,2470,2475.3,2479.55,2486.14
TCS,EQ,2-Mar-17,2479.55,2486.7,2510,2470.05,2503.2,2501.45,2497.75
TCS,EQ,3-Mar-17,2501.45,2492,2499.7,2475.4,2490,2494.05,2488.47
TCS,EQ,6-Mar-17,2494.05,2480,2484,2454.55,2477.4,2472.5,2467.59
TCS,EQ,7-Mar-17,2472.5,2482.9,2505,2475.05,2505,2499.8,2494.54
TCS,EQ,8-Mar-17,2499.8,2502,2520,2492.2,2515.5,2512.2,2506.23
TCS,EQ,9-Mar-17,2512.2,2514.15,2524,2504.05,2522,2519.75,2516.57
TCS,EQ,10-Mar-17,2519.75,2519.6,2549.55,2513.95,2542.3,2542.25,2538.1
TCS,EQ,14-Mar-17,2542.25,2556.8,2587.15,2551.05,2569.85,2567.5,2570.09
TCS,EQ,15-Mar-17,2567.5,2572,2572.15,2493.85,2499,2498.3,2512.68
TCS,EQ,16-Mar-17,2498.3,2506,2527,2506,2521.95,2520.9,2518.82
TCS,EQ,17-Mar-17,2520.9,2546,2546,2509.75,2532.15,2525.75,2526.1
TCS,EQ,20-Mar-17,2525.75,2525.95,2525.95,2466,2476.1,2480,2484.21
TCS,EQ,21-Mar-17,2480,2482,2492,2465,2484.85,2486.7,2480.49
TCS,EQ,22-Mar-17,2486.7,2480.15,2496,2469.95,2472.3,2478.95,2480.43
TCS,EQ,23-Mar-17,2478.95,2482,2485.05,2447.2,2457.95,2460.35,2460.01
TCS,EQ,24-Mar-17,2460.35,2469.8,2469.8,2423.3,2428,2427.2,2437.96
TCS,EQ,27-Mar-17,2427.2,2426.95,2440,2406,2411,2412.05,2418.6
TCS,EQ,28-Mar-17,2412.05,2410,2443.4,2410,2430.7,2429.95,2431.89
TCS,EQ,29-Mar-17,2429.95,2436,2450.8,2425.6,2443.1,2444.6,2439.98
TCS,EQ,30-Mar-17,2444.6,2444.9,2465,2435,2436.7,2441,2448.49
TCS,EQ,31-Mar-17,2441,2438.4,2440.85,2415,2423.1,2431.8,2426.64
