Date,Price,Open,High,Low,Vol.,Change %
20-Oct-08,6.99,7.00,7.29,6.59,42.52K,0.01
21-Oct-08,6.69,7.83,7.83,6.47,81.77K,0.04
22-Oct-08,6.91,7.05,7.05,6.83,9.47K,0.03
23-Oct-08,6.85,7.20,7.20,6.27,44.85K,0.01
24-Oct-08,6.79,6.99,7.48,6.41,113.93K,0.01
27-Oct-08,6.71,7.09,7.97,5.84,97.10K,0.01
28-Oct-08,7.40,7.77,7.77,6.90,35.40K,0.10
29-Oct-08,7.27,7.29,8.26,6.80,92.31K,0.02
31-Oct-08,7.08,8.06,8.58,6.91,66.92K,0.03
3-Nov-08,6.96,7.77,7.77,6.95,46.87K,0.02
4-Nov-08,7.00,6.90,7.09,6.61,117.39K,0.01
5-Nov-08,6.76,7.58,7.58,6.75,104.74K,0.03
6-Nov-08,6.87,7.19,7.51,6.32,226.54K,0.02
7-Nov-08,6.91,6.80,7.00,6.70,62.22K,0.01
10-Nov-08,6.93,6.73,7.09,6.72,406.37K,0.00
11-Nov-08,7.01,7.09,7.28,6.61,60.90K,0.01
12-Nov-08,6.97,7.19,7.19,6.83,16.30K,0.01
14-Nov-08,6.86,7.09,7.09,6.81,15.39K,0.02
17-Nov-08,6.72,7.00,7.00,6.32,30.11K,0.02
18-Nov-08,6.43,6.41,6.79,6.30,13.28K,0.04
19-Nov-08,6.83,6.32,6.99,6.32,82.93K,0.06
20-Nov-08,6.85,6.51,7.05,6.46,34.26K,0.00
21-Nov-08,7.00,6.90,7.18,6.51,51.80K,0.02
24-Nov-08,7.06,7.00,7.23,7.00,138.61K,0.01
25-Nov-08,7.38,7.58,7.58,6.70,64.10K,0.05
26-Nov-08,7.56,7.38,7.63,7.29,24.98K,0.02
28-Nov-08,7.12,7.48,7.48,6.88,14.29K,0.06
1-Dec-08,7.26,7.17,7.56,7.08,52.99K,0.02
2-Dec-08,7.18,6.90,7.29,6.75,7.66K,0.01
3-Dec-08,7.14,6.85,7.39,6.85,12.32K,0.01
4-Dec-08,7.05,7.19,7.48,6.95,15.04K,0.01
5-Dec-08,6.73,6.70,7.06,6.66,63.79K,0.05
8-Dec-08,6.85,6.75,7.04,6.75,157.10K,0.02
10-Dec-08,6.73,6.85,6.85,6.53,192.50K,0.02
11-Dec-08,6.77,7.13,7.13,6.70,12.76K,0.01
12-Dec-08,6.91,7.51,7.51,6.77,120.64K,0.02
15-Dec-08,6.41,6.82,6.99,5.64,1.74M,0.07
16-Dec-08,6.51,6.24,6.70,5.93,448.00K,0.02
17-Dec-08,6.23,6.74,6.74,6.13,98.44K,0.04
18-Dec-08,6.07,6.56,6.56,5.99,400.68K,0.03
19-Dec-08,6.26,6.14,6.41,6.14,66.76K,0.03
22-Dec-08,6.12,6.60,6.60,6.04,263.18K,0.02
23-Dec-08,6.31,6.32,6.57,6.06,185.76K,0.03
24-Dec-08,6.13,6.22,6.46,6.04,61.31K,0.03
26-Dec-08,6.36,5.97,6.51,5.97,95.19K,0.04
29-Dec-08,6.26,6.10,6.33,6.10,20.37K,0.02
30-Dec-08,6.33,6.14,6.39,6.14,39.32K,0.01
31-Dec-08,6.22,6.38,6.46,6.17,50.98K,0.02
1-Jan-09,6.28,6.50,6.50,6.13,142.62K,0.01
2-Jan-09,6.31,6.41,6.68,6.17,141.74K,0.00
5-Jan-09,6.50,6.41,6.60,6.32,1.12M,0.03
6-Jan-09,6.66,6.60,7.07,6.54,312.83K,0.02
7-Jan-09,6.15,6.70,6.73,6.02,166.22K,0.08
9-Jan-09,6.05,6.08,6.15,5.69,95.91K,0.02
12-Jan-09,5.89,6.47,6.61,5.74,51.50K,0.03
13-Jan-09,5.81,5.88,5.88,5.64,44.90K,0.01
14-Jan-09,5.93,5.73,6.02,5.73,38.20K,0.02
15-Jan-09,5.80,5.95,6.50,5.73,529.04K,0.02
16-Jan-09,5.81,6.07,6.38,5.76,651.44K,0.00
19-Jan-09,5.82,5.83,6.07,5.75,302.00K,0.00
20-Jan-09,5.74,5.76,5.93,5.67,374.48K,0.01
21-Jan-09,5.72,5.62,5.78,5.62,142.72K,0.00
22-Jan-09,5.88,5.82,6.07,5.68,114.77K,0.03
23-Jan-09,5.74,5.78,5.95,5.59,262.41K,0.02
27-Jan-09,5.63,5.60,5.73,5.59,1.64M,0.02
28-Jan-09,5.73,5.73,6.16,5.39,147.82K,0.02
29-Jan-09,5.91,6.02,6.38,5.54,68.46K,0.03
30-Jan-09,5.72,6.02,6.02,5.64,90.73K,0.03
2-Feb-09,5.59,5.73,5.82,5.54,50.42K,0.02
3-Feb-09,5.63,5.64,5.79,5.25,206.06K,0.01
4-Feb-09,5.59,5.71,5.83,5.57,33.44K,0.01
5-Feb-09,5.63,5.57,5.72,5.47,134.84K,0.01
6-Feb-09,5.46,5.54,5.64,5.44,44.39K,0.03
9-Feb-09,5.76,5.44,5.79,5.44,86.83K,0.05
10-Feb-09,5.51,5.83,5.83,5.46,98.10K,0.04
11-Feb-09,5.57,5.50,5.67,5.45,17.25K,0.01
12-Feb-09,5.60,5.68,5.68,5.51,502.94K,0.01
13-Feb-09,5.82,5.90,5.90,5.66,110.07K,0.04
16-Feb-09,5.60,5.81,5.88,5.57,68.60K,0.04
17-Feb-09,5.77,5.87,6.02,5.46,5.81M,0.03
18-Feb-09,5.65,5.82,5.97,5.54,197.09K,0.02
19-Feb-09,5.55,5.73,5.73,5.50,62.76K,0.02
20-Feb-09,5.53,5.85,5.85,5.49,93.88K,0.00
24-Feb-09,5.54,5.45,5.60,5.39,51.96K,0.00
25-Feb-09,5.41,5.73,5.73,5.40,46.75K,0.02
26-Feb-09,5.35,5.60,5.60,5.34,24.07K,0.01
27-Feb-09,5.60,5.52,5.63,5.39,52.97K,0.05
2-Mar-09,5.35,5.42,5.61,5.34,32.08K,0.04
3-Mar-09,5.19,5.25,5.34,5.15,9.25K,0.03
4-Mar-09,5.08,5.15,5.45,5.00,59.04K,0.02
5-Mar-09,4.96,5.34,5.34,4.96,9.00K,0.02
6-Mar-09,4.95,4.96,5.25,4.83,50.77K,0.00
9-Mar-09,4.63,4.86,4.93,4.40,61.29K,0.06
12-Mar-09,4.87,4.57,4.97,4.53,58.77K,0.05
13-Mar-09,4.96,4.81,5.03,4.77,23.36K,0.02
16-Mar-09,4.96,5.09,5.39,4.79,196.97K,0.00
17-Mar-09,5.30,4.86,5.34,4.86,76.75K,0.07
18-Mar-09,5.23,4.96,5.30,4.96,311.24K,0.01
19-Mar-09,5.57,5.24,5.82,5.11,112.25K,0.07
20-Mar-09,5.72,5.49,5.81,5.39,73.98K,0.03
23-Mar-09,6.86,5.85,6.86,5.85,489.13K,0.20
24-Mar-09,7.07,7.26,8.06,6.92,1.51M,0.03
25-Mar-09,7.30,7.09,8.24,7.09,346.83K,0.03
26-Mar-09,6.61,7.38,7.38,6.52,176.98K,0.09
27-Mar-09,6.91,6.68,7.00,6.68,247.53K,0.05
30-Mar-09,6.46,6.51,6.82,6.36,95.08K,0.07
31-Mar-09,6.79,6.37,6.99,6.20,225.17K,0.05
1-Apr-09,7.01,6.66,7.37,6.66,64.85K,0.03
2-Apr-09,7.45,7.02,7.58,7.02,251.22K,0.06
6-Apr-09,7.42,7.43,7.58,7.38,43.72K,0.00
8-Apr-09,7.92,6.96,8.05,6.96,90.23K,0.07
9-Apr-09,7.77,7.97,8.01,7.52,45.32K,0.02
13-Apr-09,7.84,8.21,8.21,7.77,97.76K,0.01
15-Apr-09,8.94,7.82,9.40,7.77,247.79K,0.14
16-Apr-09,8.44,9.52,9.72,8.36,137.05K,0.06
17-Apr-09,8.21,8.45,9.12,8.06,1.36M,0.03
20-Apr-09,8.20,7.98,8.45,7.98,64.74K,0.00
21-Apr-09,8.77,7.97,9.02,7.97,110.11K,0.07
22-Apr-09,8.84,9.13,9.33,8.61,55.70K,0.01
23-Apr-09,8.95,8.26,9.06,8.26,307.97K,0.01
24-Apr-09,9.05,8.84,9.33,8.75,108.41K,0.01
27-Apr-09,9.11,8.74,9.28,8.74,19.94K,0.01
28-Apr-09,9.02,9.08,9.17,8.84,35.25K,0.01
