Date,Price,Open,High,Low,Vol.,Change %
22-Oct-12,115.15,114.20,115.85,113.20,4.04M,0.00
23-Oct-12,113.35,114.25,115.60,112.95,3.46M,0.02
25-Oct-12,113.75,113.45,114.75,112.95,4.48M,0.00
26-Oct-12,112.85,113.00,113.50,112.15,2.07M,0.01
29-Oct-12,113.55,113.00,114.95,113.00,2.16M,0.01
30-Oct-12,110.90,113.30,114.15,110.45,3.90M,0.02
31-Oct-12,116.55,110.20,116.90,110.20,7.01M,0.05
1-Nov-12,116.25,116.85,116.90,114.60,3.80M,0.00
2-Nov-12,117.70,117.25,118.80,116.05,6.48M,0.01
5-Nov-12,114.50,117.50,117.55,114.00,4.78M,0.03
6-Nov-12,112.45,114.10,114.25,111.55,11.03M,0.02
7-Nov-12,113.75,112.00,114.70,111.80,5.78M,0.01
8-Nov-12,113.80,112.00,114.25,111.55,4.00M,0.00
9-Nov-12,113.30,114.55,115.80,113.00,4.49M,0.00
12-Nov-12,112.85,114.00,114.20,112.30,2.11M,0.00
13-Nov-12,113.30,113.05,113.75,112.75,789.98K,0.00
15-Nov-12,111.20,112.00,112.85,110.00,4.50M,0.02
16-Nov-12,108.90,111.20,112.05,108.55,7.87M,0.02
19-Nov-12,107.55,109.00,109.35,107.05,5.02M,0.01
20-Nov-12,105.60,108.50,109.00,104.80,5.77M,0.02
21-Nov-12,107.00,106.00,107.70,105.50,3.63M,0.01
22-Nov-12,108.30,107.50,108.85,106.05,4.01M,0.01
23-Nov-12,107.90,107.55,108.70,107.20,2.96M,0.00
26-Nov-12,109.80,108.15,110.55,107.75,4.73M,0.02
27-Nov-12,112.50,109.90,112.95,109.90,6.36M,0.02
29-Nov-12,113.10,112.65,114.20,112.50,5.37M,0.01
30-Nov-12,116.60,113.65,116.95,113.65,6.82M,0.03
3-Dec-12,117.80,116.90,118.45,115.60,5.30M,0.01
4-Dec-12,117.10,117.10,117.55,116.10,2.30M,0.01
5-Dec-12,121.15,118.20,121.60,117.85,7.36M,0.03
6-Dec-12,122.90,122.00,123.50,118.30,5.53M,0.01
7-Dec-12,123.80,123.50,124.50,122.35,6.21M,0.01
10-Dec-12,123.05,123.80,124.40,121.65,3.36M,0.01
11-Dec-12,119.85,123.25,123.90,118.10,8.28M,0.03
12-Dec-12,118.40,120.35,121.20,117.80,4.69M,0.01
13-Dec-12,115.80,118.80,119.60,115.35,4.33M,0.02
14-Dec-12,119.95,116.00,120.40,115.05,6.22M,0.04
17-Dec-12,124.20,120.25,124.50,120.15,10.27M,0.04
18-Dec-12,127.45,124.40,128.45,122.10,13.66M,0.03
19-Dec-12,129.65,127.00,130.45,127.00,9.93M,0.02
20-Dec-12,132.70,128.30,133.70,127.10,16.37M,0.02
21-Dec-12,129.30,131.35,133.25,128.25,12.70M,0.03
24-Dec-12,129.10,129.00,131.40,127.85,8.00M,0.00
26-Dec-12,128.90,129.50,131.65,128.55,6.87M,0.00
27-Dec-12,128.10,129.50,130.75,127.35,7.96M,0.01
28-Dec-12,129.40,129.20,131.50,128.10,6.97M,0.01
31-Dec-12,130.50,130.00,131.90,128.60,4.01M,0.01
1-Jan-13,134.15,131.50,134.70,131.50,7.13M,0.03
2-Jan-13,135.00,136.45,137.10,134.50,6.93M,0.01
3-Jan-13,134.40,135.65,136.00,133.10,4.97M,0.00
4-Jan-13,132.55,133.05,133.80,130.80,5.80M,0.01
7-Jan-13,134.40,133.00,136.00,132.25,5.96M,0.01
8-Jan-13,133.00,134.10,134.10,131.25,4.03M,0.01
