Date,Price,Open,High,Low,Vol.,Change %
19-Nov-12,646.75,639.75,647.90,639.45,1.45M,0.01
20-Nov-12,653.85,649.10,655.90,648.25,2.34M,0.01
21-Nov-12,663.70,655.15,665.50,649.70,3.23M,0.02
22-Nov-12,669.10,666.80,671.15,664.00,2.11M,0.01
23-Nov-12,669.75,669.50,672.60,659.05,1.31M,0.00
26-Nov-12,661.90,673.00,673.70,660.10,1.37M,0.01
27-Nov-12,680.50,664.90,683.80,664.90,4.13M,0.03
29-Nov-12,699.85,677.50,703.75,675.40,6.30M,0.03
30-Nov-12,703.95,701.00,705.50,689.60,3.91M,0.01
3-Dec-12,686.95,700.00,701.15,684.00,2.91M,0.02
4-Dec-12,685.15,684.10,690.00,681.05,2.17M,0.00
5-Dec-12,692.60,689.00,695.00,687.00,2.30M,0.01
6-Dec-12,694.75,695.80,698.50,680.80,2.73M,0.00
7-Dec-12,693.10,695.25,698.00,688.00,1.98M,0.00
10-Dec-12,693.00,690.00,696.50,689.65,2.08M,0.00
11-Dec-12,690.85,695.25,699.00,686.30,3.38M,0.00
12-Dec-12,693.85,691.25,696.00,688.50,1.93M,0.00
13-Dec-12,691.05,693.85,696.00,689.00,1.57M,0.00
14-Dec-12,688.75,690.05,694.40,685.35,2.09M,0.00
17-Dec-12,676.50,687.90,687.90,673.60,3.06M,0.02
18-Dec-12,675.95,677.95,682.20,669.75,3.34M,0.00
19-Dec-12,688.00,674.55,689.25,674.50,4.12M,0.02
20-Dec-12,683.40,686.00,687.00,680.25,2.57M,0.01
21-Dec-12,676.00,681.00,682.00,674.05,2.77M,0.01
24-Dec-12,676.10,680.00,680.15,671.80,1.37M,0.00
26-Dec-12,680.30,678.10,684.85,673.10,1.43M,0.01
27-Dec-12,680.10,684.00,684.00,676.70,2.46M,0.00
28-Dec-12,677.65,681.10,683.00,674.15,1.76M,0.00
31-Dec-12,678.60,677.00,680.00,674.00,1.28M,0.00
1-Jan-13,684.50,682.10,685.10,679.65,1.01M,0.01
2-Jan-13,687.35,689.90,690.00,683.05,2.43M,0.00
3-Jan-13,683.35,690.00,690.00,680.40,2.29M,0.01
4-Jan-13,679.35,685.00,685.00,672.80,2.72M,0.01
7-Jan-13,668.20,683.70,683.70,666.00,2.75M,0.02
8-Jan-13,670.25,668.00,673.40,665.70,2.47M,0.00
9-Jan-13,667.50,672.00,672.55,666.05,3.22M,0.00
10-Jan-13,675.80,669.50,678.00,666.50,2.28M,0.01
11-Jan-13,669.30,676.90,676.90,666.70,2.57M,0.01
14-Jan-13,669.30,668.15,670.50,667.10,2.85M,0.00
15-Jan-13,668.30,670.80,675.45,665.00,2.07M,0.00
16-Jan-13,660.50,665.55,669.20,657.60,2.29M,0.01
17-Jan-13,666.80,657.70,670.85,654.05,3.21M,0.01
18-Jan-13,662.85,670.00,674.00,655.30,5.06M,0.01
21-Jan-13,658.55,660.00,663.40,654.75,2.71M,0.01
22-Jan-13,653.75,658.50,661.00,647.55,2.12M,0.01
23-Jan-13,656.60,657.00,663.00,654.35,1.77M,0.00
24-Jan-13,660.30,655.60,662.75,655.25,1.54M,0.01
25-Jan-13,665.05,660.30,667.00,655.55,1.40M,0.01
28-Jan-13,670.35,665.25,672.00,664.45,1.84M,0.01
29-Jan-13,652.45,670.75,670.90,650.00,2.99M,0.03
30-Jan-13,656.65,653.00,658.40,644.00,2.51M,0.01
31-Jan-13,643.05,656.60,657.90,640.10,3.47M,0.02
1-Feb-13,640.15,644.80,644.85,636.20,2.62M,0.00
4-Feb-13,646.90,641.15,649.50,640.00,2.62M,0.01
5-Feb-13,644.15,636.35,647.20,636.35,1.87M,0.00
6-Feb-13,639.50,646.60,646.90,637.20,2.47M,0.01
7-Feb-13,641.50,636.30,643.00,634.55,2.27M,0.00
8-Feb-13,650.05,640.50,653.40,640.50,4.71M,0.01
11-Feb-13,656.95,650.00,659.95,650.00,3.79M,0.01
12-Feb-13,665.20,655.65,667.00,655.65,3.96M,0.01
13-Feb-13,664.20,663.30,667.40,659.50,3.63M,0.00
14-Feb-13,674.80,664.00,678.40,662.00,4.42M,0.02
15-Feb-13,676.75,671.70,680.80,668.20,3.12M,0.00
18-Feb-13,676.00,678.00,680.90,674.00,2.37M,0.00
19-Feb-13,674.80,674.50,677.40,671.55,593.70K,0.00
20-Feb-13,676.95,677.50,680.80,674.90,1.72M,0.00
21-Feb-13,666.25,675.00,677.45,664.05,2.72M,0.02
22-Feb-13,659.30,662.20,666.40,657.55,1.93M,0.01
25-Feb-13,656.45,663.25,665.20,654.10,1.89M,0.00
26-Feb-13,651.25,654.80,663.00,645.40,2.94M,0.01
27-Feb-13,642.75,652.30,654.00,640.90,3.22M,0.01
28-Feb-13,625.35,646.95,654.95,619.35,6.97M,0.03
1-Mar-13,622.50,625.00,629.60,616.30,4.31M,0.00
4-Mar-13,627.65,620.35,630.30,618.00,2.99M,0.01
5-Mar-13,632.95,630.90,634.70,623.15,2.64M,0.01
6-Mar-13,630.50,634.95,637.15,629.00,2.73M,0.00
7-Mar-13,641.80,628.35,642.95,627.15,1.49M,0.02
8-Mar-13,657.30,644.20,660.00,643.40,2.65M,0.02
11-Mar-13,655.25,657.30,659.70,650.25,2.13M,0.00
12-Mar-13,644.00,653.00,655.70,640.10,1.72M,0.02
13-Mar-13,634.90,641.05,645.90,632.20,1.98M,0.01
14-Mar-13,649.25,634.90,653.50,615.35,7.98M,0.02
15-Mar-13,639.40,645.00,649.90,633.80,3.86M,0.02
18-Mar-13,643.30,633.00,654.00,630.00,4.39M,0.01
19-Mar-13,631.55,643.00,643.80,624.00,5.01M,0.02
20-Mar-13,625.50,632.00,633.45,621.00,2.83M,0.01
21-Mar-13,607.00,622.65,628.80,603.75,3.61M,0.03
22-Mar-13,605.25,609.00,614.60,602.60,7.38M,0.00
25-Mar-13,609.40,611.00,613.35,607.55,6.80M,0.01
26-Mar-13,614.50,606.00,617.50,602.55,3.32M,0.01
28-Mar-13,625.35,616.50,631.15,606.95,4.87M,0.02
1-Apr-13,623.85,624.65,629.00,621.00,1.68M,0.00
2-Apr-13,629.90,625.00,634.30,617.90,1.71M,0.01
3-Apr-13,623.65,628.00,631.65,619.50,1.68M,0.01
4-Apr-13,616.15,618.80,623.40,613.45,2.05M,0.01
5-Apr-13,620.95,614.95,626.40,613.40,3.24M,0.01
8-Apr-13,624.45,618.95,628.95,617.75,2.16M,0.01
9-Apr-13,620.60,628.10,628.10,617.40,3.69M,0.01
10-Apr-13,632.00,626.80,633.65,618.95,3.79M,0.02
11-Apr-13,639.25,632.50,642.00,631.90,6.27M,0.01
12-Apr-13,643.70,636.10,645.85,636.10,3.80M,0.01
15-Apr-13,641.55,642.10,643.45,635.00,3.98M,0.00
16-Apr-13,663.35,643.00,665.85,642.35,3.44M,0.03
17-Apr-13,660.10,665.00,671.85,656.80,3.74M,0.00
18-Apr-13,673.60,654.00,675.40,654.00,2.31M,0.02
22-Apr-13,698.30,674.70,702.00,674.70,4.97M,0.04
23-Apr-13,689.00,698.80,700.00,678.80,5.97M,0.01
25-Apr-13,689.55,692.35,695.00,680.05,6.47M,0.00
26-Apr-13,689.10,687.65,692.25,683.00,2.14M,0.00
29-Apr-13,695.15,688.25,696.85,686.50,2.92M,0.01
30-Apr-13,682.30,694.00,695.95,676.80,3.14M,0.02
2-May-13,692.50,684.40,694.00,682.30,3.08M,0.01
3-May-13,680.95,692.60,694.00,678.65,3.07M,0.02
6-May-13,675.50,679.00,679.30,669.95,1.92M,0.01
7-May-13,688.05,676.30,689.90,672.50,2.77M,0.02
8-May-13,697.15,689.00,699.50,686.50,2.16M,0.01
9-May-13,690.05,699.05,699.50,688.20,1.13M,0.01
10-May-13,703.35,688.70,704.90,688.65,3.48M,0.02
13-May-13,692.75,705.00,711.45,690.80,2.40M,0.02
14-May-13,689.05,690.05,694.90,685.10,1.66M,0.01
15-May-13,714.85,693.50,716.00,691.35,3.54M,0.04
16-May-13,722.80,712.00,724.00,711.00,2.92M,0.01
17-May-13,718.90,722.50,722.50,709.20,3.20M,0.01
20-May-13,714.50,719.50,724.00,712.15,1.46M,0.01
21-May-13,707.80,714.00,718.00,705.05,2.30M,0.01
22-May-13,703.45,707.50,712.00,698.00,1.35M,0.01
23-May-13,698.60,699.00,706.45,694.30,1.98M,0.01
24-May-13,701.35,705.75,705.75,694.30,2.07M,0.00
27-May-13,715.05,698.60,717.00,698.60,2.25M,0.02
28-May-13,713.30,714.25,720.80,706.80,1.68M,0.00
29-May-13,715.95,710.05,718.45,703.85,1.23M,0.00
30-May-13,725.15,710.10,727.30,710.10,3.84M,0.01
31-May-13,700.50,717.25,720.70,697.70,3.08M,0.03
3-Jun-13,689.15,698.00,701.40,686.55,1.97M,0.02
4-Jun-13,683.05,687.30,693.80,681.00,1.40M,0.01
5-Jun-13,687.95,682.00,694.40,678.50,1.89M,0.01
6-Jun-13,682.20,683.50,689.40,678.00,1.78M,0.01
7-Jun-13,676.15,681.75,693.40,673.20,2.39M,0.01
10-Jun-13,676.35,681.05,687.00,671.50,1.59M,0.00
11-Jun-13,664.90,673.45,680.90,662.20,2.96M,0.02
12-Jun-13,663.95,662.00,673.40,658.45,2.45M,0.00
13-Jun-13,655.10,657.60,661.00,653.35,1.79M,0.01
14-Jun-13,665.05,662.00,668.45,659.30,3.74M,0.02
17-Jun-13,667.35,665.60,669.20,657.35,3.27M,0.00
18-Jun-13,657.45,668.00,668.00,655.00,3.11M,0.01
19-Jun-13,665.20,656.10,666.60,652.85,2.41M,0.01
20-Jun-13,636.60,658.85,658.85,634.60,3.78M,0.04
21-Jun-13,635.25,636.80,642.55,630.10,4.47M,0.00
24-Jun-13,625.35,631.80,633.85,623.75,2.69M,0.02
25-Jun-13,634.00,626.00,646.40,622.40,4.67M,0.01
26-Jun-13,622.85,631.50,637.65,620.00,2.62M,0.02
27-Jun-13,646.50,634.00,652.70,622.35,6.75M,0.04
28-Jun-13,669.50,649.50,673.20,649.10,5.27M,0.04
1-Jul-13,668.75,669.00,674.00,664.65,2.46M,0.00
2-Jul-13,656.55,668.70,668.75,654.30,2.30M,0.02
3-Jul-13,650.65,654.00,654.70,643.60,3.35M,0.01
4-Jul-13,655.15,653.80,657.45,645.70,2.40M,0.01
5-Jul-13,667.75,660.10,672.75,658.50,2.39M,0.02
8-Jul-13,660.45,664.00,667.45,652.75,1.79M,0.01
9-Jul-13,670.30,662.20,673.75,662.20,1.76M,0.01
10-Jul-13,659.30,670.25,671.90,656.15,1.78M,0.02
11-Jul-13,683.25,667.00,686.70,666.05,2.65M,0.04
12-Jul-13,695.75,687.00,697.70,681.80,3.91M,0.02
15-Jul-13,695.45,691.00,698.05,684.00,2.13M,0.00
16-Jul-13,678.70,679.00,684.50,669.95,2.91M,0.02
17-Jul-13,662.90,677.80,680.80,647.90,5.66M,0.02
18-Jul-13,684.10,669.90,688.50,656.95,3.42M,0.03
19-Jul-13,680.00,688.05,691.95,673.15,3.11M,0.01
22-Jul-13,682.05,676.00,687.00,676.00,1.62M,0.00
23-Jul-13,683.60,687.90,690.00,681.05,1.85M,0.00
24-Jul-13,659.95,674.00,676.00,653.50,3.66M,0.03
25-Jul-13,653.85,660.65,666.00,650.15,4.07M,0.01
26-Jul-13,644.10,656.00,656.25,638.00,2.34M,0.01
29-Jul-13,632.50,643.00,643.00,629.65,3.73M,0.02
30-Jul-13,625.35,630.75,635.00,620.10,3.67M,0.01
31-Jul-13,609.75,621.00,621.80,606.90,6.71M,0.02
1-Aug-13,632.20,613.90,637.80,612.40,5.86M,0.04
2-Aug-13,631.25,630.00,634.80,626.85,5.00M,0.00
5-Aug-13,632.70,631.55,635.45,615.00,3.40M,0.00
6-Aug-13,608.65,631.00,631.35,606.50,4.91M,0.04
