Date,Price,Open,High,Low,Vol.,Change %
12-Oct-12,575.05,573.95,576.25,570.25,1.31M,0.65%
15-Oct-12,578.55,575.00,579.90,569.20,1.09M,0.61%
16-Oct-12,574.25,578.50,580.45,568.65,1.46M,-0.74%
17-Oct-12,573.05,575.05,575.90,569.25,904.19K,-0.21%
18-Oct-12,575.60,573.30,580.00,571.00,979.65K,0.44%
19-Oct-12,566.55,574.00,574.05,564.65,2.06M,-1.57%
22-Oct-12,569.45,566.65,572.00,565.25,1.02M,0.51%
23-Oct-12,570.35,569.90,573.15,567.00,781.66K,0.16%
25-Oct-12,563.95,570.95,570.95,559.85,3.28M,-1.12%
26-Oct-12,552.20,564.70,569.00,547.75,6.15M,-2.08%
29-Oct-12,546.05,550.00,551.75,541.05,2.31M,-1.11%
30-Oct-12,550.60,545.70,554.20,543.35,1.62M,0.83%
31-Oct-12,546.60,550.20,551.05,541.50,2.00M,-0.73%
1-Nov-12,537.45,537.40,540.60,531.00,1.84M,-1.67%
2-Nov-12,533.00,541.45,541.45,532.20,2.01M,-0.83%
5-Nov-12,533.00,536.40,537.25,530.35,1.50M,0.00%
6-Nov-12,532.85,530.50,535.00,526.60,1.59M,-0.03%
7-Nov-12,534.55,532.10,536.30,527.10,1.84M,0.32%
8-Nov-12,533.35,532.25,536.90,530.60,1.19M,-0.22%
9-Nov-12,529.15,532.35,536.40,525.80,1.54M,-0.79%
12-Nov-12,529.80,528.05,533.10,528.00,1.29M,0.12%
13-Nov-12,529.00,530.00,531.50,527.50,109.57K,-0.15%
15-Nov-12,533.80,531.50,535.95,528.65,2.07M,0.91%
16-Nov-12,521.00,532.45,533.90,516.60,1.54M,-2.40%
19-Nov-12,516.65,521.00,521.00,512.10,1.50M,-0.83%
20-Nov-12,520.20,517.85,522.90,514.50,1.39M,0.69%
21-Nov-12,524.60,518.60,526.15,517.65,1.41M,0.85%
22-Nov-12,524.35,524.10,528.85,521.75,1.07M,-0.05%
23-Nov-12,530.20,526.50,532.50,524.20,1.03M,1.12%
26-Nov-12,537.40,530.00,540.00,528.10,1.09M,1.36%
27-Nov-12,541.65,537.50,543.90,537.20,1.74M,0.79%
29-Nov-12,548.15,540.20,550.90,540.20,2.40M,1.20%
30-Nov-12,538.10,548.00,549.70,536.00,2.28M,-1.83%
3-Dec-12,536.50,540.80,542.30,535.20,1.54M,-0.30%
4-Dec-12,533.70,536.05,538.10,532.00,710.73K,-0.52%
5-Dec-12,531.75,534.25,537.80,530.35,1.16M,-0.37%
6-Dec-12,535.25,533.00,537.00,522.35,2.30M,0.66%
7-Dec-12,530.65,533.35,537.35,527.30,3.27M,-0.86%
10-Dec-12,534.85,531.10,536.55,531.00,1.91M,0.79%
11-Dec-12,544.90,534.10,554.25,534.10,6.02M,1.88%
12-Dec-12,529.75,545.60,546.55,528.00,6.11M,-2.78%
13-Dec-12,519.75,528.00,531.95,513.85,6.19M,-1.89%
14-Dec-12,516.65,520.00,524.20,513.60,2.92M,-0.60%
17-Dec-12,522.75,518.00,523.55,515.00,1.52M,1.18%
18-Dec-12,524.75,523.70,525.50,517.25,1.24M,0.38%
19-Dec-12,522.95,525.45,527.00,520.65,3.28M,-0.34%
20-Dec-12,532.70,522.05,534.25,520.95,2.61M,1.86%
21-Dec-12,527.15,530.70,534.50,525.10,1.64M,-1.04%
24-Dec-12,531.70,528.00,536.55,524.30,974.86K,0.86%
26-Dec-12,523.40,529.20,530.75,522.30,1.07M,-1.56%
27-Dec-12,518.20,525.00,525.00,515.75,3.10M,-0.99%
28-Dec-12,522.10,519.80,523.00,516.95,1.30M,0.75%
31-Dec-12,524.85,522.10,526.90,520.05,807.95K,0.53%
1-Jan-13,530.60,525.55,533.50,525.25,538.70K,1.10%
2-Jan-13,530.50,531.10,534.00,528.05,1.52M,-0.02%
3-Jan-13,532.35,532.00,533.70,526.50,1.06M,0.35%
4-Jan-13,534.70,534.00,536.30,529.10,1.16M,0.44%
7-Jan-13,525.40,533.65,534.65,522.80,2.31M,-1.74%
8-Jan-13,525.50,523.00,527.10,520.00,1.65M,0.02%
9-Jan-13,519.30,526.00,529.85,518.20,1.57M,-1.18%
10-Jan-13,516.60,520.00,521.90,513.70,1.65M,-0.52%
11-Jan-13,498.10,517.00,518.00,495.10,2.13M,-3.58%
