Date,Price,Open,High,Low,Vol.,Change %
3-Oct-18,7246.00,7400.00,7410.70,7211.00,1.15M,0.03
4-Oct-18,7198.75,7150.00,7288.00,7021.00,1.10M,0.01
5-Oct-18,6904.35,7054.80,7220.00,6801.85,1.48M,0.04
8-Oct-18,6889.75,6915.00,6989.00,6774.25,1.39M,0.00
9-Oct-18,6699.45,6819.75,6940.00,6661.00,1.08M,0.03
10-Oct-18,6985.85,6748.00,7050.00,6723.25,1.16M,0.04
11-Oct-18,6875.50,6800.00,6950.00,6705.20,869.57K,0.02
12-Oct-18,7287.20,6950.00,7326.00,6950.00,1.05M,0.06
15-Oct-18,7182.00,7320.00,7340.00,7126.05,682.23K,0.01
16-Oct-18,7150.90,7214.00,7278.00,7123.80,637.01K,0.00
17-Oct-18,6885.60,7237.65,7245.00,6853.45,1.02M,0.04
19-Oct-18,6756.45,6830.00,6965.00,6715.50,903.94K,0.02
22-Oct-18,6812.20,6818.00,6905.00,6722.05,774.02K,0.01
23-Oct-18,6771.30,6779.00,6857.00,6666.00,734.44K,0.01
24-Oct-18,6768.30,6850.00,6885.00,6690.00,681.53K,0.00
25-Oct-18,6723.20,6700.00,6853.70,6620.20,2.10M,0.01
26-Oct-18,6717.30,6750.00,6795.00,6500.00,874.53K,0.00
29-Oct-18,6798.70,6722.00,6810.00,6691.05,505.43K,0.01
30-Oct-18,6697.00,6798.00,6868.95,6675.20,771.39K,0.02
31-Oct-18,6616.40,6760.00,6760.00,6500.00,1.32M,0.01
1-Nov-18,6711.75,6648.95,6739.95,6600.00,842.04K,0.01
2-Nov-18,7135.45,6769.80,7159.00,6750.05,1.83M,0.06
5-Nov-18,7177.25,7138.00,7254.70,7060.05,1.04M,0.01
6-Nov-18,7075.00,7195.00,7238.00,7050.00,667.41K,0.01
7-Nov-18,7127.90,7140.00,7143.00,7090.00,127.51K,0.01
9-Nov-18,7283.50,7130.00,7315.00,7040.85,986.09K,0.02
12-Nov-18,7087.80,7300.00,7352.50,7052.00,687.44K,0.03
13-Nov-18,7150.45,7049.95,7168.75,7021.00,572.30K,0.01
14-Nov-18,7369.05,7180.10,7409.00,7180.10,1.11M,0.03
15-Nov-18,7478.30,7378.90,7515.10,7333.55,1.05M,0.01
16-Nov-18,7341.20,7500.00,7544.05,7302.55,806.42K,0.02
19-Nov-18,7411.65,7360.00,7449.00,7290.00,577.41K,0.01
20-Nov-18,7333.95,7411.65,7444.50,7311.65,637.24K,0.01
21-Nov-18,7424.50,7340.00,7466.00,7331.50,701.16K,0.01
22-Nov-18,7411.10,7393.95,7480.00,7361.20,668.35K,0.00
