Date,Price,Open,High,Low,Vol.,Change %
19-Oct-07,617.33,656.00,675.00,604.92,21.29M,0.04
22-Oct-07,602.51,600.00,620.75,592.95,20.21M,0.02
23-Oct-07,649.96,617.50,653.50,613.75,19.52M,0.08
24-Oct-07,653.76,660.00,662.67,639.15,17.21M,0.01
25-Oct-07,657.01,651.25,666.95,648.05,16.73M,0.01
26-Oct-07,674.58,662.50,678.45,651.33,15.77M,0.03
29-Oct-07,706.98,691.25,711.25,683.75,18.04M,0.05
30-Oct-07,692.38,709.75,713.61,685.08,17.50M,0.02
31-Oct-07,695.95,692.00,704.62,688.50,16.61M,0.01
01-Nov-07,670.15,705.00,709.75,662.51,23.95M,0.04
02-Nov-07,678.33,644.25,681.25,644.25,15.47M,0.01
05-Nov-07,665.29,678.33,683.75,658.25,17.81M,0.02
06-Nov-07,666.55,674.67,688.75,662.81,12.11M,0.00
07-Nov-07,692.73,688.75,701.00,675.00,13.93M,0.04
08-Nov-07,685.71,687.50,698.70,663.00,14.56M,0.01
09-Nov-07,683.60,697.50,697.50,672.50,2.73M,0.00
12-Nov-07,668.90,662.50,676.17,650.50,18.09M,0.02
13-Nov-07,673.27,671.50,680.95,665.00,16.97M,0.01
14-Nov-07,722.11,682.50,724.75,682.50,24.53M,0.07
15-Nov-07,718.77,720.00,727.50,712.50,10.56M,0.00
16-Nov-07,720.41,712.50,732.00,705.50,10.18M,0.00
19-Nov-07,712.73,721.29,726.50,710.05,7.36M,0.01
20-Nov-07,696.21,716.23,716.23,690.00,15.46M,0.02
21-Nov-07,677.38,692.50,699.48,672.50,18.27M,0.03
22-Nov-07,681.19,687.50,692.42,666.25,14.35M,0.01
23-Nov-07,702.80,693.50,708.25,680.02,9.87M,0.03
26-Nov-07,721.14,716.85,726.24,707.02,12.15M,0.03
27-Nov-07,710.83,723.75,723.75,706.25,9.76M,0.01
28-Nov-07,698.08,713.75,718.70,692.25,9.98M,0.02
29-Nov-07,703.14,706.25,712.00,698.91,16.18M,0.01
30-Nov-07,712.91,706.25,720.83,703.33,12.35M,0.01
03-Dec-07,733.73,722.05,735.73,714.00,9.81M,0.03
04-Dec-07,715.62,737.50,741.40,712.55,10.55M,0.02
05-Dec-07,725.35,728.17,730.00,716.25,7.83M,0.01
06-Dec-07,718.45,737.50,747.00,716.31,9.92M,0.01
07-Dec-07,710.36,726.25,726.25,700.59,13.19M,0.01
10-Dec-07,705.74,712.50,717.20,700.33,7.38M,0.01
