Date,Price,Open,High,Low,Vol.,Change %
02-Jan-17,542.55,542.00,545.00,536.17,3.24M,0.00
03-Jan-17,544.70,544.92,548.50,540.55,2.94M,0.00
04-Jan-17,533.58,546.45,546.50,532.15,4.75M,0.02
05-Jan-17,538.70,535.50,539.95,534.38,3.99M,0.01
06-Jan-17,537.48,537.10,542.50,536.55,3.59M,0.00
09-Jan-17,538.85,538.50,543.00,535.50,2.39M,0.00
10-Jan-17,544.92,540.00,547.20,540.00,5.19M,0.01
11-Jan-17,543.02,547.50,547.85,542.00,5.25M,0.00
12-Jan-17,541.65,543.50,545.17,539.90,2.00M,0.00
13-Jan-17,545.20,542.27,548.75,542.27,3.31M,0.01
16-Jan-17,538.12,544.98,546.98,536.98,5.49M,0.01
17-Jan-17,520.62,532.50,534.00,519.25,17.94M,0.03
18-Jan-17,516.27,521.30,524.00,514.38,7.25M,0.01
19-Jan-17,516.85,517.58,522.65,515.50,6.99M,0.00
20-Jan-17,512.90,516.98,518.73,511.95,4.02M,0.01
23-Jan-17,507.95,510.90,515.50,506.40,6.27M,0.01
24-Jan-17,513.65,508.50,514.40,508.50,4.31M,0.01
25-Jan-17,508.65,516.00,516.35,508.07,10.91M,0.01
27-Jan-17,512.55,510.12,514.45,509.50,9.99M,0.01
30-Jan-17,522.40,512.48,523.23,512.40,7.17M,0.02
31-Jan-17,522.60,523.42,526.90,520.15,6.91M,0.00
01-Feb-17,524.83,523.05,525.45,517.60,5.17M,0.00
02-Feb-17,521.75,525.00,525.40,519.12,4.16M,0.01
03-Feb-17,516.83,523.00,525.23,515.05,6.04M,0.01
06-Feb-17,520.83,518.50,522.45,516.02,4.57M,0.01
07-Feb-17,515.45,521.00,521.17,513.60,4.53M,0.01
08-Feb-17,512.58,515.45,519.12,511.00,7.42M,0.01
09-Feb-17,516.38,514.00,517.00,513.40,4.51M,0.01
10-Feb-17,515.08,517.50,517.77,512.77,5.72M,0.00
13-Feb-17,514.92,516.50,517.00,511.00,3.92M,0.00
14-Feb-17,524.90,517.50,526.45,514.95,8.34M,0.02
15-Feb-17,525.65,526.45,528.75,522.62,6.97M,0.00
16-Feb-17,533.75,526.27,534.73,526.27,8.99M,0.02
17-Feb-17,537.75,533.25,539.10,529.23,6.79M,0.01
20-Feb-17,537.70,535.27,539.42,533.25,5.33M,0.00
21-Feb-17,544.10,537.60,545.48,536.52,6.49M,0.01
22-Feb-17,603.75,546.50,605.83,546.00,58.21M,0.11
23-Feb-17,591.38,606.80,611.00,589.67,28.46M,0.02
27-Feb-17,619.45,595.25,628.40,595.17,38.14M,0.05
28-Feb-17,619.02,616.00,624.00,614.25,16.51M,0.00
01-Mar-17,617.25,620.05,622.20,615.00,11.15M,0.00
02-Mar-17,618.38,618.95,627.35,613.52,8.26M,0.00
03-Mar-17,629.27,620.77,643.90,620.77,38.54M,0.02
06-Mar-17,652.67,634.50,656.00,632.62,30.50M,0.04
07-Mar-17,652.48,659.42,663.50,648.08,19.23M,0.00
08-Mar-17,645.60,653.85,653.85,643.05,19.81M,0.01
09-Mar-17,643.38,645.00,649.00,640.75,14.22M,0.00
10-Mar-17,640.83,645.12,648.00,630.60,11.33M,0.00
14-Mar-17,644.75,659.38,659.50,642.62,12.69M,0.01
15-Mar-17,652.48,645.52,658.15,645.20,11.02M,0.01
16-Mar-17,648.83,655.00,655.20,646.80,7.28M,0.01
17-Mar-17,650.35,654.00,659.98,649.02,10.39M,0.00
20-Mar-17,640.40,653.00,653.12,639.17,5.88M,0.02
21-Mar-17,631.90,641.10,641.95,629.65,10.33M,0.01
22-Mar-17,629.85,626.00,632.95,623.27,9.28M,0.00
23-Mar-17,636.65,631.58,638.77,629.00,5.40M,0.01
24-Mar-17,643.38,637.05,646.00,634.23,7.44M,0.01
27-Mar-17,625.55,635.55,639.38,623.60,14.84M,0.03
28-Mar-17,622.88,629.00,632.00,621.05,9.92M,0.00
29-Mar-17,628.33,625.85,630.00,616.67,8.65M,0.01
30-Mar-17,635.33,627.50,637.38,626.50,12.74M,0.01
31-Mar-17,660.45,633.00,668.83,633.00,20.75M,0.04
03-Apr-17,687.33,671.00,690.25,668.52,20.52M,0.04
05-Apr-17,707.50,697.60,709.00,690.05,18.43M,0.03
06-Apr-17,719.25,704.50,724.45,701.10,23.14M,0.02
07-Apr-17,703.30,710.65,717.00,701.27,14.57M,0.02
10-Apr-17,690.67,705.00,712.45,688.65,14.07M,0.02
11-Apr-17,686.17,693.92,700.23,685.05,14.74M,0.01
12-Apr-17,677.00,691.40,693.23,675.58,12.55M,0.01
13-Apr-17,682.40,677.00,686.70,673.67,5.81M,0.01
17-Apr-17,695.92,682.50,697.77,682.50,5.41M,0.02
18-Apr-17,685.10,699.98,705.00,683.50,7.32M,0.02
19-Apr-17,684.40,684.50,691.27,678.77,5.29M,0.00
20-Apr-17,684.77,689.50,693.40,682.05,3.84M,0.00
21-Apr-17,701.25,690.25,710.50,689.27,13.82M,0.02
24-Apr-17,708.70,704.52,717.50,700.10,11.66M,0.01
25-Apr-17,716.40,730.00,733.88,713.05,16.81M,0.01
26-Apr-17,708.23,717.50,720.02,701.30,7.66M,0.01
27-Apr-17,704.75,708.50,712.08,701.10,5.75M,0.00
28-Apr-17,697.60,704.88,710.15,695.50,5.42M,0.01
02-May-17,685.27,701.00,701.00,683.15,8.50M,0.02
03-May-17,685.05,688.45,690.38,682.50,4.34M,0.00
04-May-17,678.98,687.50,689.80,677.02,6.57M,0.01
05-May-17,664.12,680.80,683.67,662.50,7.13M,0.02
08-May-17,660.70,665.00,669.75,659.17,7.35M,0.01
09-May-17,665.17,662.00,666.83,660.12,9.65M,0.01
10-May-17,679.55,667.40,681.80,665.33,10.47M,0.02
11-May-17,679.77,682.05,684.88,675.83,6.30M,0.00
12-May-17,675.23,680.02,682.00,672.02,3.44M,0.01
15-May-17,672.05,678.20,678.20,666.75,3.08M,0.00
16-May-17,678.15,673.02,688.45,670.50,5.79M,0.01
17-May-17,676.55,676.50,682.98,673.88,4.50M,0.00
18-May-17,663.67,670.12,675.00,662.05,4.48M,0.02
19-May-17,659.42,666.50,667.85,655.00,5.86M,0.01
22-May-17,662.08,663.25,666.80,657.60,4.02M,0.00
23-May-17,652.77,662.85,664.92,651.00,4.22M,0.01
24-May-17,648.85,653.75,656.85,647.55,6.55M,0.01
25-May-17,651.23,650.00,656.20,648.23,11.85M,0.00
26-May-17,668.65,651.98,672.20,650.00,9.80M,0.03
29-May-17,678.45,668.50,682.73,667.80,10.98M,0.01
30-May-17,679.67,677.95,682.35,674.25,4.42M,0.00
31-May-17,670.35,683.50,683.98,667.90,7.51M,0.01
01-Jun-17,664.12,666.35,670.00,661.50,4.36M,0.01
02-Jun-17,662.38,667.50,669.35,658.50,5.26M,0.00
05-Jun-17,664.67,663.12,670.50,657.92,4.95M,0.00
06-Jun-17,656.40,666.98,666.98,655.50,4.38M,0.01
07-Jun-17,669.50,655.60,671.00,654.50,5.12M,0.02
08-Jun-17,665.85,670.00,672.40,664.02,3.61M,0.01
09-Jun-17,667.85,672.55,676.48,665.50,6.33M,0.00
12-Jun-17,659.73,663.27,664.88,658.50,3.86M,0.01
13-Jun-17,657.17,660.30,663.50,655.50,2.75M,0.00
14-Jun-17,678.75,657.95,680.00,657.95,24.20M,0.03
15-Jun-17,691.98,680.00,697.50,679.55,12.93M,0.02
16-Jun-17,694.40,694.55,697.90,684.65,14.95M,0.00
19-Jun-17,704.62,695.10,707.90,695.10,6.97M,0.01
20-Jun-17,706.17,704.50,711.05,703.73,4.64M,0.00
21-Jun-17,711.00,703.90,714.00,702.12,9.14M,0.01
22-Jun-17,716.33,714.73,722.70,713.85,10.11M,0.01
23-Jun-17,717.92,718.00,721.00,715.30,14.24M,0.00
27-Jun-17,718.58,716.00,721.50,712.50,14.90M,0.00
28-Jun-17,699.25,719.98,719.98,697.77,7.12M,0.03
29-Jun-17,696.35,700.00,705.00,695.05,5.90M,0.00
30-Jun-17,690.00,696.00,696.20,687.52,3.57M,0.01
03-Jul-17,690.52,694.10,697.35,685.50,4.20M,0.00
04-Jul-17,710.98,695.00,713.55,694.50,8.60M,0.03
05-Jul-17,721.33,714.73,723.73,712.00,12.44M,0.01
06-Jul-17,721.27,724.35,725.00,719.00,6.21M,0.00
07-Jul-17,745.58,721.50,748.88,720.00,16.39M,0.03
10-Jul-17,746.42,765.00,775.00,744.55,1.63M,0.00
11-Jul-17,747.17,750.50,752.20,743.50,9.60M,0.00
12-Jul-17,755.55,749.70,762.50,748.75,7.82M,0.01
13-Jul-17,761.05,754.38,762.50,753.08,10.52M,0.01
14-Jul-17,766.88,760.00,768.00,757.77,9.39M,0.01
17-Jul-17,775.88,768.50,779.80,768.50,8.57M,0.01
18-Jul-17,759.95,773.40,775.90,755.50,8.98M,0.02
19-Jul-17,766.48,756.30,769.00,756.30,5.39M,0.01
20-Jul-17,764.45,769.88,775.00,761.85,6.23M,0.00
21-Jul-17,792.50,775.00,795.85,772.48,44.41M,0.04
24-Jul-17,807.62,800.00,812.45,792.50,19.85M,0.02
25-Jul-17,801.08,812.35,812.48,798.80,9.17M,0.01
26-Jul-17,811.38,802.10,814.95,800.55,10.04M,0.01
27-Jul-17,797.40,814.00,815.75,794.17,8.42M,0.02
28-Jul-17,797.23,795.62,802.98,789.00,6.55M,0.00
31-Jul-17,807.60,800.98,809.40,798.00,7.57M,0.01
01-Aug-17,801.80,811.38,811.38,795.75,5.63M,0.01
02-Aug-17,814.60,805.00,817.85,804.05,9.50M,0.02
03-Aug-17,825.05,813.42,832.45,808.52,9.01M,0.01
04-Aug-17,811.08,831.50,831.50,807.55,8.49M,0.02
07-Aug-17,808.17,815.80,815.80,806.27,4.36M,0.00
08-Aug-17,801.27,809.00,810.52,793.40,5.01M,0.01
09-Aug-17,799.40,800.75,810.00,792.50,4.77M,0.00
10-Aug-17,792.17,796.52,803.33,788.98,4.66M,0.01
11-Aug-17,773.12,775.48,790.00,766.50,7.77M,0.02
14-Aug-17,786.52,780.50,792.25,780.50,6.14M,0.02
16-Aug-17,783.05,786.00,788.00,775.10,6.21M,0.00
17-Aug-17,783.55,784.50,798.83,780.58,7.24M,0.00
18-Aug-17,787.70,782.00,788.90,776.58,3.63M,0.01
21-Aug-17,782.20,788.50,792.08,780.12,3.46M,0.01
22-Aug-17,780.02,786.00,789.95,778.02,4.36M,0.00
23-Aug-17,791.02,782.42,793.27,776.58,3.80M,0.01
24-Aug-17,784.02,795.00,796.55,782.25,5.79M,0.01
28-Aug-17,783.27,789.52,790.98,780.60,5.63M,0.00
29-Aug-17,766.08,780.92,783.75,765.00,6.93M,0.02
30-Aug-17,782.05,773.77,784.40,770.62,4.72M,0.02
31-Aug-17,797.25,787.50,798.73,787.00,11.48M,0.02
01-Sep-17,805.05,799.92,808.30,799.50,7.05M,0.01
04-Sep-17,806.67,807.75,818.08,797.92,9.86M,0.00
05-Sep-17,816.30,815.00,817.42,810.52,11.53M,0.01
06-Sep-17,822.70,813.20,826.25,811.40,22.29M,0.01
07-Sep-17,818.10,823.00,832.50,815.00,7.41M,0.01
08-Sep-17,816.90,820.00,823.25,812.10,6.06M,0.00
11-Sep-17,817.90,821.30,826.85,816.55,5.80M,0.00
12-Sep-17,823.75,822.75,825.00,817.00,2.97M,0.01
13-Sep-17,849.00,824.00,859.90,822.00,13.43M,0.03
14-Sep-17,843.85,855.80,861.50,842.00,5.43M,0.01
15-Sep-17,841.80,842.00,852.85,834.75,13.07M,0.00
18-Sep-17,845.55,850.00,851.05,843.10,2.31M,0.00
19-Sep-17,838.60,848.70,848.75,837.00,3.53M,0.01
20-Sep-17,847.15,856.10,872.50,845.10,11.40M,0.01
21-Sep-17,841.35,847.00,851.70,836.25,5.92M,0.01
22-Sep-17,817.40,839.90,839.90,813.20,5.62M,0.03
25-Sep-17,821.55,815.00,827.95,805.20,6.51M,0.01
26-Sep-17,820.10,821.70,827.05,812.20,4.83M,0.00
27-Sep-17,799.15,825.60,825.70,795.50,8.43M,0.03
28-Sep-17,786.45,799.65,802.90,780.20,13.51M,0.02
29-Sep-17,780.90,791.75,793.40,779.10,7.62M,0.01
03-Oct-17,798.35,795.00,803.85,785.35,8.39M,0.02
04-Oct-17,818.85,799.20,824.95,795.60,8.64M,0.03
05-Oct-17,824.15,825.00,828.45,818.65,4.86M,0.01
06-Oct-17,837.05,824.00,839.35,822.60,5.94M,0.02
09-Oct-17,830.65,839.00,839.80,828.00,4.05M,0.01
10-Oct-17,843.20,831.00,847.30,831.00,6.73M,0.02
11-Oct-17,840.15,845.30,858.40,836.00,7.05M,0.00
12-Oct-17,872.75,842.10,876.80,842.10,8.52M,0.04
13-Oct-17,876.45,879.30,890.70,873.35,9.83M,0.00
16-Oct-17,876.80,879.00,892.00,861.30,14.63M,0.00
17-Oct-17,874.35,878.00,884.00,867.20,6.35M,0.00
18-Oct-17,914.50,877.40,917.90,875.00,16.77M,0.05
19-Oct-17,909.90,915.80,921.90,903.00,3.66M,0.01
23-Oct-17,939.75,912.90,944.70,909.10,12.55M,0.03
24-Oct-17,934.25,947.70,947.70,928.20,6.34M,0.01
25-Oct-17,939.90,940.10,945.90,929.50,4.58M,0.01
26-Oct-17,947.40,940.00,957.80,931.00,7.70M,0.01
27-Oct-17,929.85,950.00,956.70,925.70,5.26M,0.02
30-Oct-17,942.50,934.00,945.55,930.60,3.58M,0.01
31-Oct-17,940.85,944.95,945.75,932.20,4.35M,0.00
01-Nov-17,952.55,947.75,957.80,945.75,8.03M,0.01
02-Nov-17,946.60,952.80,956.50,944.25,4.70M,0.01
03-Nov-17,945.30,955.95,955.95,940.15,2.19M,0.00
06-Nov-17,932.50,942.50,942.50,929.00,4.46M,0.01
07-Nov-17,906.70,933.35,935.00,903.05,9.35M,0.03
08-Nov-17,887.80,902.50,906.00,884.10,8.12M,0.02
09-Nov-17,900.50,894.75,909.90,892.05,6.86M,0.01
10-Nov-17,883.85,900.95,900.95,879.20,6.37M,0.02
13-Nov-17,875.25,885.00,891.90,873.50,4.16M,0.01
14-Nov-17,886.70,875.00,895.00,873.00,5.71M,0.01
15-Nov-17,883.70,884.50,890.60,877.95,6.98M,0.00
16-Nov-17,903.85,885.50,906.00,885.50,6.93M,0.02
17-Nov-17,911.90,918.95,924.90,908.50,5.59M,0.01
20-Nov-17,920.85,906.20,924.35,905.00,4.22M,0.01
21-Nov-17,932.55,926.80,939.65,925.50,5.98M,0.01
22-Nov-17,930.75,937.45,938.65,923.45,5.06M,0.00
23-Nov-17,947.00,931.00,949.90,926.65,7.33M,0.02
24-Nov-17,951.10,950.00,959.50,947.40,6.39M,0.00
27-Nov-17,951.35,947.25,957.50,944.00,4.68M,0.00
28-Nov-17,943.35,949.85,951.35,938.10,4.64M,0.01
29-Nov-17,946.00,941.85,950.00,941.00,3.67M,0.00
30-Nov-17,921.55,941.45,941.45,919.50,9.43M,0.03
01-Dec-17,910.10,924.45,931.25,907.70,5.08M,0.01
04-Dec-17,901.60,913.50,913.80,897.35,4.62M,0.01
05-Dec-17,913.70,901.05,920.75,895.45,8.37M,0.01
06-Dec-17,926.65,910.00,930.30,908.80,11.01M,0.01
07-Dec-17,931.55,930.05,936.00,923.00,5.53M,0.01
08-Dec-17,921.00,933.85,936.95,919.05,5.59M,0.01
11-Dec-17,916.15,922.45,926.00,913.55,4.93M,0.01
12-Dec-17,915.60,915.95,929.00,908.00,7.22M,0.00
13-Dec-17,914.65,916.90,924.95,910.70,4.18M,0.00
14-Dec-17,921.50,919.00,924.90,908.75,5.02M,0.01
15-Dec-17,919.75,931.00,932.95,917.70,11.16M,0.00
18-Dec-17,921.00,911.95,932.65,862.65,8.49M,0.00
19-Dec-17,925.95,923.60,927.00,920.00,4.06M,0.01
20-Dec-17,918.15,925.90,927.40,917.00,4.77M,0.01
21-Dec-17,912.95,918.45,923.95,910.00,4.15M,0.01
22-Dec-17,920.40,914.65,922.40,909.30,4.87M,0.01
26-Dec-17,929.80,924.85,938.90,918.15,5.30M,0.01
27-Dec-17,923.75,933.00,937.50,919.00,4.35M,0.01
28-Dec-17,924.20,925.25,934.40,919.10,7.09M,0.00
29-Dec-17,921.05,926.50,932.30,918.50,5.07M,0.00
01-Jan-18,909.75,922.70,922.70,907.50,4.32M,0.01
02-Jan-18,911.15,913.00,919.55,906.40,4.34M,0.00
03-Jan-18,914.80,925.00,926.00,913.05,6.18M,0.00
04-Jan-18,920.30,918.15,921.80,915.70,4.12M,0.01
05-Jan-18,923.25,921.80,926.90,920.25,3.40M,0.00
08-Jan-18,928.55,926.10,931.00,923.50,4.04M,0.01
